m10_n0.txt:10: misprediction rate:       ,15.67,%
m10_n1.txt:10: misprediction rate:       ,15.80,%
m10_n2.txt:10: misprediction rate:       ,16.39,%
m10_n3.txt:10: misprediction rate:       ,17.45,%
m10_n4.txt:10: misprediction rate:       ,17.99,%
m10_n5.txt:10: misprediction rate:       ,18.11,%
m10_n6.txt:10: misprediction rate:       ,19.36,%
m10_n7.txt:10: misprediction rate:       ,20.40,%
m10_n8.txt:10: misprediction rate:       ,21.10,%
m10_n9.txt:10: misprediction rate:       ,21.91,%
m10_n10.txt:10: misprediction rate:      ,22.77,%
