m18_n0.txt:10: misprediction rate:,11.17,%
m18_n1.txt:10: misprediction rate:,10.43,%
m18_n2.txt:10: misprediction rate:,9.82,%
m18_n3.txt:10: misprediction rate:,9.18,%
m18_n4.txt:10: misprediction rate:,8.52,%
m18_n5.txt:10: misprediction rate:,8.06,%
m18_n6.txt:10: misprediction rate:,7.45,%
m18_n7.txt:10: misprediction rate:,7.12,%
m18_n8.txt:10: misprediction rate:,6.91,%
m18_n9.txt:10: misprediction rate:,6.76,%
m18_n10.txt:10: misprediction rate:,6.73,%
m18_n11.txt:10: misprediction rate:,6.75,%
m18_n12.txt:10: misprediction rate:,6.78,%
m18_n13.txt:10: misprediction rate:,6.81,%
m18_n14.txt:10: misprediction rate:,6.9,%
m18_n15.txt:10: misprediction rate:,6.99,%
m18_n16.txt:10: misprediction rate:,7.15,%
m18_n17.txt:10: misprediction rate:,7.3,%
m18_n18.txt:10: misprediction rate:,7.49,%
